,/api/printr,/api/facebook,/api/flickr,/api/google-earth,/api/google-maps,/api/amazon-product-advertising,/api/google-adsense,/api/smugmug,/api/delicious-0,/api/microsoft-bing-maps,/api/google-gadgets,/api/google-custom-search,/api/poly9-freeearth
Mashup: Printr,1,0,0,0,0,0,0,0,0,0,0,0,0
Mashup: Czech 3Dtour,0,0,0,0,1,0,0,0,0,0,0,0,0
Mashup: Virtual Earth 3D Scenes,0,0,0,0,0,0,0,0,0,2,0,0,0
Mashup: UFOMaps 3D,0,0,0,0,0,0,0,0,0,0,0,0,1
Mashup: Virtual Earth 3D Flight Simulator,0,0,0,0,0,0,0,0,0,1,0,0,0
Mashup: English Lake District,0,0,0,1,0,1,1,0,0,0,0,1,0
Mashup: flickrvision 3D,0,0,1,0,0,0,0,0,0,0,0,0,1
Mashup: Del.icio.us in 3D,0,0,0,0,0,0,0,0,1,0,0,0,1
Mashup: FotoViewr,0,1,1,0,0,0,0,1,0,0,1,0,0
Mashup: Gaiagi Driver - 3D Driving Simulator,0,0,0,1,1,0,0,0,0,1,0,0,0
Mashup: 360 Cities,0,0,0,0,1,0,0,0,0,0,0,0,0
