,/api/facebook,/api/google-chart,/api/linkedin,/api/google-maps,/api/pyton-flight-portal,/api/flickr,/api/flightstats,/api/411sync,/api/microsoft-bing-maps,/api/youtube,/api/freebase,/api/google-client-authentication,/api/foursquare,/api/allmyles,/api/google-maps-data
Mashup: Whilewairport,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0
Mashup: NOTAM Ace,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Mashup: Elsy Arres Flights,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Mashup: Airplane Specifications, Photos, and Videos",0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
Mashup: Fireflies,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Mashup: TheAirDB,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Mashup: Flights travels hotels,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Mashup: Find Airport Delays by Phone,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Mashup: Most Wired Airports,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Mashup: Flightradar24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Mashup: TapTravel,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Mashup: Radarvirtuel,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Mashup: Airline Toll Free Numbers,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Mashup: Flight Simulator,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Mashup: Whereables - The Airport Map,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Mashup: Smart Avia Pix,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
