,/api/bloglines,/api/long-url-please,/api/google-picasa,/api/uclassify,/api/google-custom-search,/api/twilio-sms,/api/twickit,/api/instagram-graph,/api/google-cloud-translation,/api/lastfm,/api/amazon-ec2,/api/livejournal,/api/sensebot,/api/aiderss,/api/pownce,/api/longurl,/api/ilike,/api/tweepsearch,/api/microsoft-bing,/api/twilio,/api/yahoo-term-extraction,/api/microsoft-bing-maps,/api/google-search,/api/tweetfeel-twitter-sentiment,/api/tweetshrink,/api/bing-search,/api/yelp-fusion,/api/friendfeed,/api/google-calendar,/api/scribd-platform,/api/tweet-press,/api/slideshare,/api/semantic-contextual-advertising,/api/amazon-s3,/api/feedburner,/api/yahoo-traffic,/api/twittercounter,/api/imageshack,/api/google-analytics-managment,/api/tweetphoto,/api/backtweets,/api/bitly,/api/vimeo,/api/amplify,/api/google-plus,/api/technorati,/api/tagalus,/api/tweetlater,/api/tweetsentiments,/api/twitter,/api/google-visualization,/api/yahoo-video-search,/api/typepad,/api/rubygems,/api/linkedin,/api/yahoo-answers,/api/blogger,/api/plum-fuse,/api/taglets,/api/zemanta,/api/facebook,/api/we-feel-fine,/api/yahoo-image-search,/api/bing,/api/google-maps,/api/411sync,/api/what-trend,/api/digg,/api/splogspot,/api/tweetrl,/api/lat49,/api/amazon-product-advertising,/api/youtube,/api/tweetarun,/api/alexa-web-information-service,/api/delicious-0,/api/instapaper,/api/google-chart,/api/soundcloud,/api/flickr,/api/yahoo-geocoding,/api/tumblr,/api/google-app-engine,/api/yahoo-search,/api/twitpic,/api/google-gadgets,/api/evernote,/api/yahoo-site-explorer,/api/12secondstv,/api/yahoo-query-language-graphql,/api/tweetmeme,/api/box
Mashup: Realtime Related Tweets Bar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mashup: Twitter Birthday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mashup: Spot Today,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Mashup: Whatsikat Boso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mashup: TwitAku.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mashup: PolitiTrends,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mashup: FotosCES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Mashup: politwitter,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Mashup: Trendsmap - Real-time local Twitter trends,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mashup: trawlr,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
