,/api/google-geocoding,/api/30-boxes,/api/bbc,/api/google-calendar,/api/twilio,/api/google-maps,/api/411sync,/api/google-app-engine,/api/ebay,/api/google-maps-places,/api/google-distance-matrix,/api/upcomingorg,/api/cronofy
Mashup: BBC Programmes to iCal,0,0,1,1,0,0,0,0,0,0,0,0,0
Mashup: auctionReminder - eBay Reminders in Google Calendar,0,0,0,1,0,0,0,0,1,0,0,0,0
Mashup: eBay API Release Calendar,0,0,0,1,0,0,0,0,1,0,0,0,0
Mashup: PlanHQ,0,0,0,1,0,0,0,0,0,0,0,0,0
Mashup: VoiceCal,0,0,0,1,1,0,0,1,0,0,0,0,0
Mashup: GoTime for iPhone,1,0,0,0,0,1,0,0,0,1,1,0,0
Mashup: Access Your Calendar by Phone,0,1,0,1,0,0,1,0,0,0,0,1,0
Mashup: Fertility,0,0,0,1,0,0,0,0,0,0,0,0,0
Mashup: One Diary,0,0,0,1,0,0,0,0,0,0,0,0,1
Mashup: gSyncit,0,0,0,1,0,0,0,0,0,0,0,0,0
