,/api/google-search,/api/twitter,/api/youtube,/api/google-chart,/api/google-base,/api/lastfm,/api/flickr,/api/yahoo-geocoding,/api/twitpic,/api/amazon-ec2,/api/yahoo-image-search,/api/tweetphoto,/api/bing,/api/google-maps,/api/411sync,/api/tweetmeme,/api/freebase,/api/musicbrainz,/api/aol-video,/api/yahoo-maps
Mashup: World of Hollywood,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Mashup: Latest Fashionwire Photos on Phone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Mashup: NYC Movie Locations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Mashup: ipap.me,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Mashup: '08 celebrity pictures, videos and news",0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Mashup: Michael Jackson Biographical Map,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Mashup: Flickr Image Fight,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Mashup: TweetaCeleb,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mashup: Coast Rack,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Mashup: Twitle,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Mashup: tv3o,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Mashup: LastTube, Last.fm Meets Youtube",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mashup: Celebrity Ranker,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Mashup: Top 10 African Americans in Hollywood,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Mashup: Mob Mojo,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Mashup: Sexy Visions,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mashup: MashCeleb,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
