,/api/google-spreadsheets,/api/fanfeedr-sports-news,/api/social-actions,/api/linkedin,/api/google-maps,/api/foursquare,/api/blogger,/api/meetup,/api/donorschoose,/api/google-maps-places,/api/fansnap
Mashup: Possibly Related Classroom Projects (WordPress),0,0,0,0,0,0,0,0,1,0,0
Mashup: NCAA Fund the Future,0,0,0,0,0,0,0,0,1,0,0
Mashup: Passione non profit,0,0,1,0,0,0,1,0,1,0,0
Mashup: Snoball,0,1,0,0,0,0,0,0,0,0,1
Mashup: Cash4Books.net,0,0,0,0,0,0,0,0,1,0,0
Mashup: Fuel Your School (Chevron),0,0,0,0,1,0,0,0,1,0,0
Mashup: Google Spreadsheet Visualization,1,0,0,0,0,0,0,0,0,0,0
Mashup: Starbucks Digital Network,0,0,0,1,0,1,0,0,1,0,0
Mashup: EveryBlock classroom fundraisers,0,0,0,0,0,0,0,0,1,0,0
Mashup: dfwdines - DFW Restaurant Week Guide,0,0,0,0,1,0,0,1,0,1,0
