,/api/lyricwiki,/api/oodle,/api/google-chart,/api/lastfm,/api/feedburner,/api/google-maps,/api/guardian,/api/twitter,/api/google-adsense,/api/google-visualization,/api/carma,/api/netflix,/api/google-gadgets,/api/google-custom-search,/api/google-finance-portfolio
Mashup: Energy: Country Comparisons of Fuel Production,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Mashup: Chart Generator,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Mashup: MyApartmentMap Rentals,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
Mashup: Googlecharter,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Mashup: Guardian Trends,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Mashup: Chartpart,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Mashup: Google Finance Historical Data,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Mashup: FeedFlix,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Mashup: McKinsey Style Consulting Tool,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Mashup: FeedBurner Stats Widget,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
Mashup: Swine Flu Outbreak Dashboard,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
Mashup: Twitter Sentiment,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Mashup: LastGraph,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Mashup: Thematic mapping,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Mashup: 1000 songs,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Mashup: New York Times Campaign Finance Chart,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
