,/api/oodle,/api/facebook,/api/google-base,/api/google-maps,/api/411sync,/api/twitter,/api/vast,/api/rapleaf,/api/google-adsense,/api/google-adwords,/api/foursquare
Mashup: MapList,0,0,0,1,0,0,0,0,0,0,0
Mashup: Portland City Classifieds,0,0,1,1,0,0,0,0,0,0,0
Mashup: Search Oodle Tickets by Phone,0,0,0,0,1,0,0,0,0,0,0
Mashup: adoodles,1,0,0,0,0,0,0,0,0,0,0
Mashup: DormItem Free College Classifieds,0,1,0,1,0,0,0,1,0,0,0
Mashup: Adhysteria,0,0,0,1,0,0,1,0,1,1,0
Mashup: SF Bay Area Tickets by Phone,0,0,0,0,1,0,0,0,0,0,0
Mashup: tazaar,0,0,0,0,0,1,0,0,0,0,0
Mashup: Search Edgeio by Phone,0,0,0,0,1,0,0,0,0,0,0
Mashup: Dachshund Adoption,1,0,0,0,0,0,0,0,0,0,0
Mashup: Classifiables,1,0,0,0,0,0,0,0,0,0,0
Mashup: Coopcities,0,0,0,0,0,0,0,0,0,0,1
