,/api/cnet,/api/best-buy-products,/api/hotelscombined,/api/amazon-product-advertising,/api/youtube,/api/yahoo-answers,/api/ebay-product-services,/api/google-base,/api/flickr,/api/shoppingcom,/api/amazon-ec2,/api/facebook,/api/prosperent,/api/google-analytics-managment,/api/commission-junction,/api/bing-maps,/api/microsoft-bing,/api/google-maps,/api/google-earth,/api/finansportalen,/api/shopzilla,/api/yahoo-shopping,/api/google-adsense,/api/google-apps-email-migration,/api/ebay,/api/google-adwords,/api/new-york-times-article-search,/api/yahoo-maps
Mashup: UPCZilla,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Mashup: Valuepia,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Mashup: VG Sammenlign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Mashup: SwoopThat,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0
Mashup: Gifts Ideas Search,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mashup: Ramazon - Amazon Related,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mashup: SAVEonAtoZ.com,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0
Mashup: Find Best Three,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mashup: GrabEvery,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mashup: Billigeforbrukslån.no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Mashup: NYT Trender,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Mashup: eDrool - Bargain Finder,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Mashup: Maps Compare,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1
Mashup: Mes Vacances,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
