,/api/highrise,/api/fedex,/api/google-visualization,/api/webhoseio,/api/google-chart,/api/google-calendar,/api/google-contacts,/api/authorizenet,/api/google-app-engine,/api/docusign-enterprise,/api/quickbase,/api/google-maps-data,/api/google-gmail-oauth,/api/ups-shipping,/api/drawloop,/api/google-drive,/api/dun-and-bradstreet-business-verification,/api/batchbook,/api/twilio,/api/google-maps,/api/google-web-authentication,/api/box,/api/getsentiment
Mashup: Southwind Fan and Light,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Mashup: DocuSign for Microsoft Dynamics CRM,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Mashup: Cloud-Based Mail-Merge with BatchBook and Drawloop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Mashup: SugarCRM and Box.net,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Mashup: CollabSpot Insights: Highrise for Gmail,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mashup: Cirrus Insight,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Mashup: CRM-Gadget,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Mashup: GetSentiment Restaurant Reviews,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Mashup: QuickBase PowerTools with Click-to-Conference,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
Mashup: In2Clouds Predictive Analytics for Salesforce.com,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
