,/api/nationbuilder,/api/google-geocoding,/api/facebook,/api/yelp-fusion,/api/elasticsearch,/api/mapbox,/api/buzzdata,/api/google-maps,/api/readmill,/api/twitter,/api/facebook-social-plugins,/api/google-adsense,/api/uk-street-level-crime,/api/datagovuk
Mashup: Magellan Strategies,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Mashup: Choose Your Best City,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Mashup: Car Crime + Accident Map,0,0,0,0,0,0,0,1,0,0,0,0,1,1
Mashup: LifeTweaker,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Mashup: SmartCommunicator,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Mashup: Best City In The World,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Mashup: ReadTracker,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Mashup: Datos Peru,0,1,0,0,0,0,0,1,0,0,1,1,0,0
Mashup: Data Visualizer Hack with AlchemyAPI,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Mashup: Whereabouts London,0,0,0,0,0,1,0,0,0,0,0,0,0,0
