,/api/twilio-sms,/api/facebook,/api/linkedin,/api/imsas,/api/twilio,/api/google-maps,/api/twitter,/api/baby-names,/api/github,/api/amazon-simpledb,/api/youtube,/api/mailchimp,/api/notifo
Mashup: CriminalDatabase,0,0,0,1,0,0,0,0,0,0,0,0,0
Mashup: Fast Criminal Records,0,0,0,1,0,0,0,0,0,0,0,0,0
Mashup: Talk Rain,0,0,0,0,1,0,0,0,0,0,0,0,0
Mashup: DBStract.com,1,0,0,0,1,1,1,0,0,0,0,1,1
Mashup: hearSay,0,0,0,0,1,0,0,0,0,0,0,0,0
Mashup: Elseif,0,0,0,0,0,0,1,0,1,0,1,0,0
Mashup: Datantify,0,1,1,0,0,0,1,0,1,0,0,0,0
Mashup: Baby Name Meanings,0,0,0,0,0,0,0,1,0,0,0,0,0
Mashup: PitchVater,0,0,0,0,1,0,0,0,0,0,0,0,0
Mashup: SDB Explorer,0,0,0,0,0,0,0,0,0,1,0,0,0
