,/api/tropo-scripting,/api/facebook,/api/trynt,/api/paypal,/api/twilio,/api/lastfm,/api/flickr,/api/google-maps,/api/yahoo-query-language-graphql,/api/weather-channel,/api/youtube,/api/musicbrainz,/api/uber,/api/foursquare,/api/amazon-ec2,/api/eventful
Mashup: InstaLover,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mashup: Singles For Foursquare,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Mashup: BoyFriend X,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
Mashup: Human Pets,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0
Mashup: Best Cities For Singles,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Mashup: Speed Phone Dating,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Mashup: Hinge,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Mashup: Tastebuds,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
Mashup: Mate Matcher,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Mashup: Rendezbook,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
