,/api/uc-berkeley-registration-status-check,/api/google-search,/api/myspace,/api/whipplehill,/api/twitter,/api/amazon-product-advertising,/api/youtube,/api/indeed,/api/factual-v3,/api/google-maps-flash,/api/orkut,/api/twilio-sms,/api/maas2,/api/yahoo-answers,/api/google-chart,/api/yelp-fusion,/api/finalsite,/api/after-deadline,/api/paypal,/api/google-desktop,/api/yahoo-geocoding,/api/aim-phoneline,/api/alexa-site-thumbnail,/api/yahoo-geoplanet,/api/moodle,/api/google-gadgets,/api/schoology,/api/facebook,/api/geonames,/api/rescuetime,/api/udacity-course-catalog,/api/google-analytics-managment,/api/zillow,/api/opensocial,/api/seesmic,/api/myvox,/api/donorschoose,/api/wiziq-virtual-classroom,/api/twilio,/api/google-fusion-tables,/api/nasa-mars-rover-photos,/api/google-maps,/api/google-earth,/api/google-street-view-image,/api/maplarge,/api/yahoo-query-language-graphql,/api/google-adsense,/api/university-british-columbia-labs,/api/ebay,/api/oecd-open-data,/api/foursquare,/api/google-client-authentication
Mashup: Find Great Colleges,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Mashup: TallySpace,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Mashup: Find Good School,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Mashup: GPABook.com,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Mashup: Limeades For Learning (SONIC Drive-In),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mashup: Virtual Classroom API Integration,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mashup: Google Campus Map Development,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Mashup: DCTweets,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mashup: Social Map of California Colleges & Universities,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Mashup: UK Schools (SchoolEtc.co.uk),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
