,/api/google-search,/api/maplight,/api/google-picasa,/api/twitter,/api/blankslate,/api/youtube,/api/indeed,/api/pdxcouncilconnect,/api/open-government-data-initiative,/api/google-maps-flash,/api/team-popong-poodl,/api/new-york-times-article-search,/api/eventful,/api/friendfeed,/api/flickr,/api/docusign-enterprise,/api/opensecrets,/api/yahoo-search,/api/govtrackus,/api/secondlife,/api/oipa-openaid-iati,/api/google-spreadsheets,/api/cicero,/api/capitol-words,/api/geonames,/api/facebook-graph,/api/follow-money,/api/google-analytics-managment,/api/backtype,/api/huffington-post-pollster,/api/google-social-graph,/api/twilio,/api/google-maps,/api/openstreetmap,/api/google-earth,/api/maponics,/api/maplarge,/api/usps-trackconfirm-fields,/api/411sync,/api/microsoft-bing-maps,/api/ikregeernl,/api/technorati
Mashup: Vote Locations in Amsterdam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Mashup: Lobbyist Activity Tracker,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Mashup: Politics in Korea,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mashup: Maponics Neighborhood Boundaries: Recovery by Neighborhood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Mashup: HuffPost Politics Election Dashboard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Mashup: Foreign and Commonwealth Office Travel Advice Map,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Mashup: Access Denied Map,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Mashup: PolitickerUSA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mashup: Bills in the News,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mashup: Planning Petitions Under Review,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
Mashup: FEC Candidate ID Lookup,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
