,/api/lyricfind,/api/lyricwiki,/api/chartlyrics-lyric,/api/facebook,/api/google-search,/api/facebook-graph,/api/myplaylist,/api/spotify-metadata,/api/flickr,/api/billboard,/api/twitter,/api/youtube,/api/musicbrainz,/api/musixmatch
Mashup: LyricsFly,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Mashup: SELYRICS,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Mashup: smsTunes,0,0,0,0,1,0,0,0,0,0,0,1,0,0
Mashup: Lyreka,1,0,0,0,0,0,0,1,0,0,0,0,1,0
Mashup: LyricWiki Lyrics,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Mashup: LyricStatus,0,0,0,1,0,1,0,0,0,0,0,1,0,0
Mashup: ChartLyrics,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Mashup: VideoFF,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Mashup: Twyric,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Mashup: ChizMax Lyrics and Video Search Engine,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Mashup: myplaylist lyrics,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Mashup: Music Video Lyrics,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Mashup: Lyrics Feast,1,0,0,0,0,0,0,0,0,1,0,1,0,0
