,/api/hoiio-sms,/api/alexa-web-information-service,/api/best-buy-reviews,/api/twilio-sms,/api/whois,/api/google-cloud-translation,/api/yahoo-geocoding,/api/compete,/api/nationbuilder,/api/internet-archive,/api/facebook,/api/facebook-graph,/api/review-trackers,/api/google-play-developer,/api/thumbalizr,/api/itunes-app-store-search,/api/mailchimp,/api/w3counter,/api/opinioncrawl-sentiment-analysis,/api/globexplorer,/api/twilio,/api/google-maps,/api/google-sites,/api/eventbrite,/api/google-adwords,/api/alexa-web-search
Mashup: MailChimp Eventbrite Integration,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
Mashup: Whoop! Bid Management,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Mashup: Startups.bz,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Mashup: Prospella Maps,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Mashup: Feelter,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Mashup: oGoWoo,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mashup: Bridge,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mashup: WooRank,0,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0
Mashup: TheTool,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Mashup: AIMcrm,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Mashup: Textuate,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mashup: Hireoffices,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mashup: Facebook Audience Finder,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mashup: Moball,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
