,/api/google-search,/api/yelp-fusion,/api/amazon-s3,/api/google-maps,/api/urban-mapping-mapfluence,/api/artbeat,/api/yahoo-ads
Mashup: My Fashionable New York,0,0,0,1,0,0,0
Mashup: StoopSales,0,0,0,1,0,0,0
Mashup: The Geography of Seinfeld,0,0,0,1,0,0,0
Mashup: Virtual NYC Tour,0,0,0,1,0,0,1
Mashup: Flyrig,1,0,1,1,0,0,0
Mashup: New York Art Beat - Bubble Machine,0,0,0,0,0,1,0
Mashup: GoBYO - Bring Your Own Wine Guide,0,1,0,1,1,0,0
Mashup: TaxiWiz,0,0,0,1,0,0,0
Mashup: New York Metro Card Usage,0,0,0,1,0,0,0
Mashup: NYTimes 36hrs Column Map,0,0,0,1,0,0,0
Mashup: Manhattan Real Estate Guide,0,0,0,1,0,0,0
