,/api/evri,/api/8coupons,/api/twitter,/api/amazon-product-advertising,/api/youtube,/api/delicious-0,/api/scalarium,/api/google-chart,/api/yelp-fusion,/api/flickr,/api/blogger,/api/amazon-ec2,/api/itunes-and-itunes-connect,/api/facebook,/api/facebook-graph,/api/rovi-cloud-services,/api/alternativeto,/api/rotten-tomatoes,/api/plaxo,/api/bing,/api/google-maps,/api/foursquare
Mashup: Photoree Image Recommendations,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Mashup: Synesica,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mashup: Wectar Gems,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mashup: AllMusic by Rovi,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Mashup: Demo Bookstore with Amazon Advertising API,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Mashup: Loqly,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Mashup: Docoloco,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0
Mashup: Search.Travel,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mashup: Expressi,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Mashup: Discovr Movies,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Mashup: EvriVerse,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mashup: AlternativeTo Android,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
