,/api/zotero,/api/plancast,/api/indeed,/api/tinylink,/api/twilio-sms,/api/google-cloud-translation,/api/compete,/api/google-maps-data,/api/google-spreadsheets,/api/smsmybus,/api/google-documents-list,/api/backtype,/api/google-geocoding,/api/activ-financial,/api/twilio,/api/channeladvisor,/api/google-adsense,/api/ebay,/api/microsoft-bing-maps,/api/google-search,/api/yahoo-weather,/api/heroku,/api/dropbox,/api/odnoklassniki,/api/friendfeed,/api/spock,/api/facebook-social-plugins,/api/yahoo-local-search,/api/forvo,/api/thomson-reuters-open-calais,/api/netvibes,/api/google-gmail-oauth,/api/fitbit,/api/amazon-s3,/api/facebook-graph,/api/world-time-engine,/api/google-analytics-managment,/api/active,/api/social-archive,/api/oodle,/api/google-page-speed-online,/api/google-plus,/api/qwerly,/api/yahoo-maps,/api/cirip,/api/43things,/api/twitter,/api/google-visualization,/api/webknox-keywords,/api/typepad,/api/google-maps-elevation,/api/widgetbox,/api/springer-metadata,/api/yahoo-answers,/api/linkedin,/api/wikipedia,/api/amnesty-international,/api/bibliacom,/api/cheezburger,/api/bookingmarkets,/api/facebook,/api/geonames,/api/rovi-cloud-services,/api/amazon-a9-opensearch,/api/epa-station-catalog,/api/actblue,/api/bing,/api/google-maps,/api/google-fonts,/api/dbpedia,/api/weather-channel,/api/what-trend,/api/klout,/api/citygrid,/api/amazon-product-advertising,/api/goodreads,/api/youtube,/api/alexa-web-information-service,/api/epa-watershed-summary,/api/google-chart,/api/imsas,/api/google-desktop,/api/flickr,/api/yahoo-geocoding,/api/google-app-engine,/api/7digital,/api/snappyfingers,/api/ifixit,/api/twitpic,/api/activecom,/api/google-gadgets,/api/weather-central,/api/crunchbase,/api/vodpod,/api/google-social-graph,/api/yahoo-travel,/api/github,/api/box,/api/freebase,/api/google-adwords,/api/foursquare
Mashup: Hospitals in Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mashup: immipad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Mashup: World Time Engine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mashup: Web Startup Toolbar,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Mashup: Talkdesk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mashup: Twitternano,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mashup: Reverse Phone Search Widget,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mashup: ChannelAdvisor CRM Connector,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mashup: SIW - System Information for Windows,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mashup: Seatwave Top Artists,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
