,/api/google-gmail-oauth,/api/google-geocoding,/api/oodle,/api/yelp-fusion,/api/google-mashup-editor,/api/amazon-s3,/api/facebook-graph,/api/google-maps,/api/facebook-social-plugins,/api/yahoo-geocoding,/api/block-avenue-neighborhood-reviews,/api/google-app-engine,/api/yahoo-local-search,/api/commission-junction,/api/google-gadgets,/api/peekacity
Mashup: Nicksmap,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Mashup: PadMapper,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Mashup: ZILPY,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Mashup: Rentmix,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
Mashup: Apartable,1,1,0,0,1,1,1,1,1,0,0,0,0,0,1,0
Mashup: Find Properties in Calgary,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Mashup: Deep Blue Apartments,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Mashup: Chicago Apartments,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Mashup: Rent Jungle - Apartment Search With Google Streetviews,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Mashup: Rentenna,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Mashup: My Apartment Map,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0
