,/api/google-geocoding,/api/google-mashup-editor,/api/google-maps,/api/google-earth,/api/google-street-view-image,/api/google-static-maps,/api/poly9-freeearth,/api/yahoo-maps,/api/amee
Mashup: Climatecraft,0,0,0,0,0,0,0,0,1
Mashup: Climate Change 2030,0,0,1,0,0,0,0,0,0
Mashup: Weather 3D,0,0,0,0,0,0,1,0,0
Mashup: Flood Maps,0,0,1,0,0,0,0,0,0
Mashup: If I Dig Straight Down,0,0,1,0,0,0,0,0,0
Mashup: Map of the World,0,0,1,0,0,0,0,0,0
Mashup: Dino Map,0,0,1,0,0,0,0,0,0
Mashup: PISCO Ecological Data Products Map,0,0,1,0,0,0,0,0,0
Mashup: Planet Hazard,0,0,1,0,0,0,0,0,0
Mashup: Interactive Climate Map,0,0,1,0,0,0,0,0,0
Mashup: Earthquakes in Last 7 Days,0,0,0,0,0,0,0,1,0
Mashup: EpiSPIDER,0,0,1,0,0,0,0,0,0
Mashup: World Wide Earthquakes,0,1,1,0,0,0,0,0,0
Mashup: Best Western Michigan Hotel Guide in 3D,0,0,1,1,0,0,0,0,0
Mashup: Earthquake Vulnerable Cities,0,0,1,0,0,0,0,0,0
Mashup: youbeQ - Maps with Life,1,0,1,1,1,1,0,0,0
