,/api/betfair,/api/google-fusion-tables,/api/flickr,/api/twittercounter,/api/twitter,/api/google-maps,/api/google-visualization,/api/youtube,/api/alexa-web-information-service,/api/compete,/api/trulia,/api/mendeley,/api/klout
Mashup: World Statistics,0,1,0,0,0,0,0,0,0,0,0,0,0
Mashup: ACT Scores by US State,0,0,0,0,0,1,0,0,0,0,0,0,0
Mashup: PlotOrNot,0,0,1,0,0,0,0,0,0,0,1,0,0
Mashup: Twittsdaq Twitter Profile Statistics,0,0,0,1,1,0,0,0,0,0,0,0,1
Mashup: UK Economic Indicators Dashboard,0,0,0,0,0,0,1,0,0,0,0,0,0
Mashup: Statr for Flickr,0,0,1,0,0,0,0,0,0,0,0,0,0
Mashup: Domain Tools,0,0,0,0,0,0,0,0,0,1,0,0,0
Mashup: ReaderMeter,0,0,0,0,0,0,1,0,0,0,0,1,0
Mashup: Jessica's Automated Gaming,1,0,0,0,0,0,0,0,0,0,0,0,0
Mashup: Statsr,0,0,1,0,0,0,0,0,0,0,0,0,0
Mashup: YouTube Top Video Data,0,0,0,0,0,0,0,1,0,0,0,0,0
Mashup: Movers 2.0,0,0,0,0,0,0,0,0,1,0,0,0,0
