,/api/trakttv,/api/youtube,/api/delicious-0,/api/bbc,/api/google-maps-flash,/api/google-chart,/api/lastfm,/api/yahoo-geocoding,/api/tvrage,/api/shoppingcom,/api/amazon-ec2,/api/yahoo-live,/api/itunes-and-itunes-connect,/api/rovi-cloud-services,/api/livevideo,/api/google-maps,/api/411sync,/api/maplarge,/api/dbpedia,/api/bandsintown,/api/ebay
Mashup: TV Episodes Recaps by Phone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Mashup: BBC On Move,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Mashup: Deli TV for Boxee,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mashup: Shiftpop,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Mashup: TotalGuide G2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Mashup: Television Show Settings,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Mashup: Top 99 Women on Google Maps,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Mashup: showmaniac,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Mashup: Mirror TVs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Mashup: The Apprentice Map,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Mashup: TV Map,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Mashup: Audiggle,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0
Mashup: The Amazing Race,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Mashup: Trakter,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mashup: LCD TV Price Comparison,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Mashup: Mightyv,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
