,/api/hoiio-sms,/api/cnet,/api/hoiio-voice,/api/skype,/api/shopify-admin,/api/twitter,/api/ringful,/api/amazon-product-advertising,/api/yahoo-address-book,/api/amazon-mechanical-turk,/api/youtube,/api/google-wave,/api/evoca,/api/bbc,/api/yahoo-mail,/api/twilio-sms,/api/yahoo-answers,/api/google-calendar,/api/mapquest,/api/stripe,/api/flickr,/api/google-contacts,/api/google-app-engine,/api/appharbor,/api/docusign-enterprise,/api/recurly,/api/forvo,/api/google-talk,/api/plum-fuse,/api/amazon-ec2,/api/nationbuilder,/api/facebook,/api/telapi,/api/broadsoft-xtended,/api/myvox,/api/ip2location,/api/aol-instant-messenger,/api/freshbooks,/api/thrutu,/api/tropo-scripting,/api/hackerearth,/api/cloudvox,/api/twilio,/api/sendgrid,/api/google-maps,/api/ebay,/api/microsoft-bing-maps
Mashup: Mania de Celular,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mashup: Voice Maps,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Mashup: FakeGirlfriend,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Mashup: TextOrder.net,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Mashup: AwayFind,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Mashup: Auto Attendant (Open Source),1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mashup: Facebook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mashup: Traffic Amigo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Mashup: The pronunciation guide for Windows Phone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mashup: Diffmon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Mashup: Fone Findr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
