,/api/mymemory,/api/google-gmail-oauth,/api/tutorials-garden,/api/microsoft-translator,/api/google-cloud-translation,/api/twilio,/api/bing-translator,/api/google-app-engine,/api/ebay,/api/yahoo-image-search,/api/indeed,/api/google-custom-search
Mashup: Api Expert - MyMemory Language Translator,1,0,0,0,0,0,0,0,0,0,0,0
Mashup: Voxilate translator,0,0,0,0,0,1,0,0,0,0,0,0
Mashup: Quick Translate,0,0,0,1,0,0,0,0,0,0,0,0
Mashup: ManyAtOnce,0,0,0,0,1,0,0,0,1,0,0,0
Mashup: Kolay Ä°ngilizce Oku,0,1,0,0,0,0,0,1,0,0,0,0
Mashup: everygain Translator,0,0,0,0,1,0,1,0,0,0,0,0
Mashup: Fast & Quick Online Translator,0,0,0,1,1,0,0,0,0,0,0,0
Mashup: Speak It All,0,0,1,0,0,0,0,0,0,0,0,0
Mashup: Quisoft's mashup playground,0,0,0,0,0,0,0,0,0,1,1,1
Mashup: Double Translation,0,0,0,0,0,0,1,0,0,0,0,0
Mashup: Translightor,0,0,0,0,1,0,0,0,0,0,0,0
Mashup: Jollo Language Translation Comparison,0,0,0,0,1,0,0,0,0,0,0,0
Mashup: Google Translator Widget for Mobile,0,0,0,0,1,0,0,0,0,0,0,0
