,/api/google-search,/api/myspace,/api/mongolab,/api/twitter,/api/amazon-product-advertising,/api/digg,/api/youtube,/api/google-visualization,/api/alexa-web-information-service,/api/amazon-mechanical-turk,/api/dropbox,/api/colourlovers,/api/yahoo-mail,/api/twilio-sms,/api/twickit,/api/new-york-times-newswire,/api/zazzle,/api/google-chart,/api/daylife,/api/yelp-fusion,/api/mtv,/api/google-base,/api/lastfm,/api/flickr,/api/yahoo-geocoding,/api/facebook-social-plugins,/api/google-app-engine,/api/yahoo-search,/api/yahoo-local-search,/api/walk-score,/api/google-affiliate-network,/api/world-weather-online,/api/google-shopping-search,/api/amazon-rds-relational-database-service,/api/amazon-ec2,/api/compete,/api/brighter-planet-cm1,/api/poly9-freeearth,/api/google-closure-compiler,/api/facebook,/api/amazonca,/api/evernote,/api/facebook-graph,/api/buzzdata,/api/yahoo-music,/api/google-analytics-managment,/api/urban-mapping-mapfluence,/api/zillow,/api/google-drive,/api/disqus,/api/amazon-dynamodb,/api/ispeech-automated-speech-recognition,/api/mapfluence,/api/google-geocoding,/api/oodle,/api/bitly,/api/geocoder,/api/twilio,/api/bing,/api/google-maps,/api/google-earth,/api/google-fusion-tables,/api/wookmark,/api/google-web-authentication,/api/google-adwords,/api/freebase,/api/foursquare,/api/technorati,/api/klout
Mashup: Map My Following,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Mashup: TwitterCharts,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mashup: YouFM,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Mashup: Yukon Live,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Mashup: Twitter Earth,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Mashup: Photo Map,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Mashup: Wookmark Screensaver,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Mashup: Showrooms,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mashup: Twick.it Map,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Mashup: Mainbase,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
