,/api/google-search,/api/api-hood-global-tides,/api/yahoo-weather,/api/metno-weather,/api/nasa,/api/twitter,/api/yahoo-widgets,/api/fedex,/api/google-cloud-print,/api/youtube,/api/eventful,/api/twilio-sms,/api/google-chart,/api/handset-detection,/api/yelp-fusion,/api/google-contacts,/api/flickr,/api/yahoo-geocoding,/api/kayak,/api/google-app-engine,/api/yahoo-local-search,/api/wikipedia,/api/secondlife,/api/world-weather-online,/api/highcharts,/api/openweathermap,/api/google-maps-data,/api/currencies-exchange-rates,/api/aerisweather,/api/facebook,/api/futef-wikipedia-api,/api/yahoo-geo-location,/api/geonames,/api/yahoo-traffic,/api/ipinfoio-ip-geolocation,/api/weather-central,/api/panoramio,/api/google-static-maps,/api/google-geocoding,/api/yahoo-travel,/api/crowdflower,/api/hostipinfo,/api/google-prediction,/api/twilio,/api/adobe-air-bus-tour,/api/google-maps,/api/411sync,/api/smart-ip-geo-ip,/api/usps-trackconfirm-fields,/api/yahoo-query-language-graphql,/api/weather-channel,/api/google-web-authentication,/api/norway-weather,/api/noaa-national-weather-service-nws-ndfd-soap,/api/weather-underground-wunderground,/api/national-weather-service-ndfd,/api/microsoft-bing-maps,/api/yahoo-maps
Mashup: WrongWeather,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mashup: Api Expert - World Weather Forecast,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mashup: Weather Sentiment Prediction,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Mashup: PIG WTHR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Mashup: OnAIR AIR App,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Mashup: EasyWeather - The Weather Engine,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Mashup: Will It Freeze Tonight?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mashup: Weather Odds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mashup: Malva Weather,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mashup: MoreMap,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
