,/api/myspace,/api/twitter,/api/youtube,/api/mtv,/api/twickit,/api/mindtouch-deki-wiki,/api/google-cloud-translation,/api/lastfm,/api/flickr,/api/yahoo-geocoding,/api/yahoo-local-search,/api/wikipedia,/api/compete,/api/wikia,/api/fire-eagle,/api/lyricwiki,/api/vimeo,/api/geocoder,/api/google-maps,/api/technorati,/api/dbpedia,/api/freebase,/api/digg
Mashup: Cleepr,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0
Mashup: flickr wrappr,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Mashup: Wikinear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Mashup: Wikipedia Roll,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Mashup: BricaBox,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
Mashup: Stickymap.com,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
Mashup: My Wikia,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Mashup: Deki Wiki Digg Extension,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Mashup: Probably True,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Mashup: Pediax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Mashup: EEmap.org,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Mashup: Wikipedia Mobile,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Mashup: DigiLondon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Mashup: Deki Wiki Twitter Extension,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mashup: Lyrics Muse,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Mashup: LocalHero,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Mashup: Twikipedia,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
