category,卡方检验统计量,p-value,自由度,90%置信度下是否关联
3D,108.77777777777777,0.7595623997054235,120,False
API,26.0,0.3531649328512703,24,False
API Management,0.0,1.0,0,False
Accessibility,0.0,1.0,0,False
Accounting,93.99999999999997,0.36565925022193935,90,False
Accounts,0.0,1.0,0,False
Activity Streams,0.0,1.0,0,False
Addresses,0.0,1.0,1,False
Adult,8.0,0.23810330555354436,6,False
Advertising,126.58333333333331,0.9178086996747278,150,False
African,0.0,1.0,0,False
Aggregation,411.85311355311353,0.9318380883043561,456,False
Air Travel,187.06666666666672,0.8707057169180205,210,False
Algorithms,0.0,1.0,1,False
Analytics,833.8571428571429,0.8651512112804953,880,False
Animals,133.4888888888889,0.4717716161087487,133,False
Application Development,1304.275225225225,0.9999945768568219,1536,False
Applications,54.00000000000002,0.25591260154408896,48,False
Art,258.23809523809524,0.9966843482116237,323,False
Artificial Intelligence,3.0000000000000004,0.22313016014842973,2,False
Asia,0.0,1.0,0,False
Astrology,3.0000000000000004,0.22313016014842973,2,False
Astronomy,16.88888888888889,0.3255499377506354,15,False
Auctions,1047.2095458553792,1.0,1517,False
Audio,204.125,0.3125333661009506,195,False
Australian,28.388888888888893,0.8130549999084319,36,False
Auto,612.4658585858585,0.8515649321549962,650,False
Automation,0.0,1.0,0,False
Avatars,0.0,1.0,1,False
Background,0.0,1.0,0,False
Backup,0.0,1.0,0,False
Bars,2.2222222222222228,0.6949629742611338,4,False
Beer,27.0,0.3044531593776482,24,False
Belgian,0.0,1.0,0,False
Big Data,0.0,1.0,0,False
Bitcoin,152.84722222222226,0.9829142423606628,192,False
Blockchain,0.0,1.0,0,False
Blogging,6852.5749698888685,1.0,8463,False
Boating,5.6,0.69193743259148,8,False
Booking,26.0,0.9895895349108693,45,False
Bookmarks,793.1519179894179,1.0,1260,False
Books,606.9257936507936,0.9818834555803864,682,False
Bots,5.0,0.5438131158833297,6,False
Brazilian,11.25,0.25896125611352744,9,False
Breweries,0.0,1.0,0,False
Browsers,0.0,1.0,0,False
Business,228.2,0.2715254164120835,216,False
Calendars,77.81481481481481,0.9873753711133785,108,False
Campaigns,10.0,0.2650259152973616,8,False
Canadian,19.557692307692314,0.9999878181520637,52,False
Catalogs,0.0,1.0,0,False
Celebrities,311.73333333333335,0.36768468852884223,304,False
Charity,74.78571428571432,0.8758736041911407,90,False
Charts,178.2,0.9457286866803463,210,False
Chat,522.145,0.38033246661397735,513,False
Check-In,0.0,1.0,0,False
Chinese,33.33333333333333,0.5486891659888844,35,False
Cities,0.0,1.0,0,False
Classification,57.19999999999999,0.3934113297735529,55,False
Classifieds,97.87500000000001,0.7893601048590434,110,False
Clothing,0.0,1.0,0,False
Cloud,41.89285714285714,0.6043493604981536,45,False
Collaboration,12.0,0.21330930508341653,9,False
Collecting,0.0,1.0,0,False
Colors,17.437499999999996,0.6244094460837419,20,False
Community,0.0,1.0,0,False
Comparisons,332.2278344671201,0.7568703570557391,351,False
Contacts,168.32261904761904,0.8901766611914054,192,False
Content,3.0,0.22313016014842982,2,False
Content Management,20.000000000000007,0.33281967875071855,18,False
Conversions,0.0,1.0,1,False
Copyright,0.0,1.0,0,False
Coronavirus,0.0,1.0,0,False
Countries,0.0,1.0,0,False
Coupons,86.99999999999999,0.27746213345928716,80,False
Credit Cards,3.0,0.22313016014842982,2,False
Crime,116.45833333333333,0.999119437531761,168,False
Cryptocurrency,40.00000000000001,0.29702839792467334,36,False
Currency,0.0,1.0,0,False
Customer Relationship Management,209.00000000000006,0.2822363544462913,198,False
Customer Service,3.0,0.22313016014842982,2,False
Cycling,44.045454545454554,0.982862866938095,66,False
Dashboards,0.0,1.0,0,False
Data,114.04166666666667,0.5601522385534957,117,False
Data Mining,0.0,1.0,0,False
Database,96.66666666666667,0.7746058085771981,108,False
Database-as-a-Service,0.0,1.0,0,False
Dating,137.3277777777778,0.42803213649442756,135,False
Demographics,18.0,0.26266556067232244,15,False
Design,29.250000000000004,0.39993085079463303,28,False
DevOps,0.0,1.0,0,False
Dictionary,22.0,0.5792667629217123,24,False
